date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,7.6,1.3,15,0,,58,9.7,,1009.1,
2023-01-02,7.8,5,11.8,8.1,,34,10.6,,1006,
2023-01-03,3.3,1.5,5,0,,265,20.3,,1006.5,
2023-01-04,2,-2,7.5,0,,277,13.1,,1014.7,
2023-01-05,2.3,-2,8.3,0,,272,14.3,,1021.4,
2023-01-06,4.5,-1,11.5,0,,112,13.8,,1017.1,
2023-01-07,1.4,-3.6,6,0,,355,15.5,,1023.4,
2023-01-08,2.3,-5,12,0,,203,7.9,,1023.7,
2023-01-09,5.6,0.4,13,0,,204,12,,1016.7,
2023-01-10,7.3,-0.5,15.8,0,,128,9.5,,1010,
2023-01-11,6,0.6,12,2.8,,7,12,,1007,
2023-01-12,0.6,-4,3.3,0.3,,342,22.9,,1024.9,
2023-01-13,-2.2,-5.7,4,0,,44,8.1,,1028.4,
2023-01-14,4.1,-5,13.6,0,,162,24.5,,1016.7,
2023-01-15,9.8,5,15,0,,165,31.9,,1002.7,
2023-01-16,10.5,5,16,0,,251,18.1,,1001.5,
2023-01-17,6.5,0,14.3,0,,47,14.4,,1008.2,
2023-01-18,6.3,0,14,10.8,,189,22,,1003,
2023-01-19,0.9,-2,6,0,,302,19.2,,1014.5,
2023-01-20,2.3,-3.5,9.1,0,,11,4.6,,1023.1,
2023-01-21,2,0,3,3.5,,56,10,,1016.8,
2023-01-22,0.3,-2,3,0,,321,10.8,,1015.3,
2023-01-23,0.2,-6,6.7,0,,277,8.2,,1023,
2023-01-24,-0.1,-2.5,2,4.4,,340,5.7,,1018.8,
2023-01-25,-1.2,-4.2,2,2.3,,328,14.1,,1017.8,
2023-01-26,-0.8,-5.8,4,0,,265,8.2,,1022,
2023-01-27,4.5,-1,11.4,0,,221,13.3,,1015.5,
2023-01-28,3.8,-6.4,11.2,0,,222,21.6,,1012.1,
2023-01-29,-8.7,-10.8,-6,0,,2,27,,1024.4,
2023-01-30,-9.2,-11.5,-7,0,,17,20.3,,1029.6,
2023-01-31,-8.8,-13,-3.8,0,,340,7.9,,1029,
2023-02-01,-4.5,-10,1.2,0,,211,9.3,,1026.1,
2023-02-02,0,-7,10.6,0,,309,13.7,,1026.8,
2023-02-03,-2.1,-9.3,5,0,,144,15.2,,1034.1,
2023-02-04,7.4,2,16,0,,212,23.3,,1018.2,
2023-02-05,6.9,-1.8,16,0,,248,9.5,,1019,
2023-02-06,10.3,4.1,18.5,0,,187,21.8,,1010,
2023-02-07,5.6,0.7,12,0,,359,13.6,,1022,
2023-02-08,2.5,-3.2,7,7.7,,10,13.8,,1016.8,
2023-02-09,3.6,-0.8,10,0.4,,334,20.6,,1018.7,
2023-02-10,-0.1,-6,5.9,0,,1,17,,1030.1,
2023-02-11,0.8,-6.7,10.4,0,,174,8.9,,1025.9,
2023-02-12,6.7,-2,17,0,,215,18.2,,1014.5,
2023-02-13,7.5,-1,16.4,0,,204,12.2,,1012.6,
2023-02-14,8.7,5.2,13.9,14.8,,194,21.9,,996,
2023-02-15,1.9,-1,7,2.8,,6,20.2,,1011.4,
2023-02-16,-3.5,-5.7,-1,0,,325,19.1,,1020.8,
2023-02-17,-0.3,-9,8.1,0,,225,13.4,,1027.8,
2023-02-18,4,-0.5,11.3,0,,193,27.8,,1019.6,
2023-02-19,6.3,-1.5,14.1,0.2,,238,10.1,,1012.1,
2023-02-20,8.8,1.5,17.4,0,,337,7.4,,1009.6,
2023-02-21,10.2,1.2,16,0,,128,19.7,,1001.5,
2023-02-22,7.7,-4.6,17.5,0,,268,23.4,,997.9,
2023-02-23,-6.7,-11.5,-1.6,0,,345,19.1,,1023.8,
2023-02-24,-6.6,-11.2,-3,1.3,,17,15.4,,1030.4,
2023-02-25,-0.5,-7,5,0,,173,10.2,,1023.3,
2023-02-26,9.2,1.8,17.7,19,,162,20.7,,1005.6,
2023-02-27,12.8,7.2,18.9,0.5,,286,20.8,,1001.7,
2023-02-28,10.7,2.6,19,0,,108,15.8,,1004.6,
2023-03-01,9.4,5,15.1,0,,20,16,,1009.9,
2023-03-02,5.4,1.7,9,0.2,,41,23.6,,1006.9,
2023-03-03,6.5,1,14.3,2,,336,13.7,,1004.1,
2023-03-04,9.2,4.3,15.5,0,,34,12.7,,1014.4,
2023-03-05,14.9,7.2,23,0,,165,23.3,,1010.1,
2023-03-06,10.6,4.1,16.2,0,,2,23.9,,1015.1,
2023-03-07,4,1,7,1.5,,32,17.2,,1021.2,
2023-03-08,5.7,4.6,7.4,0,,2,14.1,,1022,
2023-03-09,5.4,2.5,8.3,1.7,,344,14.3,,1020.7,
2023-03-10,3.2,-1,9,0,,73,13.4,,1019.9,
2023-03-11,7,3.1,11,0.3,,50,20.1,,1006.8,
2023-03-12,3.6,0.5,9,0,,353,19.3,,1018.5,
2023-03-13,0.1,-5,5,0,,5,12.9,,1025.9,
2023-03-14,4.9,-2.2,12.4,0,,150,16.3,,1024.5,
2023-03-15,10.2,4.5,17.2,0,,171,31.8,,1013.9,
2023-03-16,8.4,0,17.4,4.7,,276,33.1,,1007.5,
2023-03-17,3.1,-3,9,0,,321,14.4,,1021.8,
2023-03-18,-1.6,-5.2,2.1,0,,341,18.1,,1028.9,
2023-03-19,-0.1,-7.3,8.3,0,,224,14.3,,1029,
2023-03-20,7,0,14.6,0,,182,32.5,,1016,
2023-03-21,10.3,5.8,18.6,2.5,,157,28.1,,1009.4,
2023-03-22,18.9,11.7,25.1,0,,193,25.5,,1008.3,
2023-03-23,9.9,4.5,19.6,0,,3,22.7,,1013.7,
2023-03-24,6.6,3.8,11,10.2,,25,14.8,,1008.5,
2023-03-25,8.7,3.6,16.3,0.1,,281,10,,1009.1,
2023-03-26,4,1.7,7,0,,325,17.6,,1016.8,
2023-03-27,4.4,-2.2,12,0.2,,21,14.5,,1022.2,
2023-03-28,5.4,0.2,11,0.9,,24,13.3,,1028.2,
2023-03-29,9.4,0.8,19,0,,159,18.6,,1019.5,
2023-03-30,14.2,8.2,19.9,1.2,,167,30.7,,1009.7,
2023-03-31,18.2,10,22.9,0,,231,29.9,,1002.9,
2023-04-01,8.9,2.1,16.2,0,,286,15.3,,1018.9,
2023-04-02,16.9,7,28,0,,180,24.2,,1007.6,
