latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-18.79916,-41.26456,320.2,1.85,1.33,2024-08-27,18,T,100,6.1NRT,289.72,46.11,N
-18.8011,-41.28184,315.66,1.86,1.33,2024-08-27,18,T,92,6.1NRT,289.32,36.09,N
-18.08996,-42.12473,302.44,2.1,1.41,2024-08-27,18,T,49,6.1NRT,291.33,12.04,N
-18.08659,-42.11109,301.54,2.09,1.41,2024-08-27,18,T,42,6.1NRT,291.08,11.79,N
-17.38496,-41.65461,301.89,1.89,1.34,2024-08-27,18,T,45,6.1NRT,287.81,16.18,N
-17.47253,-44.74601,304.75,3.28,1.71,2024-08-27,18,T,61,6.1NRT,289.4,36.98,N
-17.46003,-44.75235,302.61,3.28,1.71,2024-08-27,18,T,50,6.1NRT,289.33,30.1,N
-16.71304,-43.34549,304.25,2.5,1.52,2024-08-27,18,T,59,6.1NRT,287.32,27.04,N
-15.36881,-40.91317,303.25,1.56,1.23,2024-08-27,18,T,54,6.1NRT,290.13,11.37,N
-15.37063,-40.92817,301.73,1.57,1.23,2024-08-27,18,T,44,6.1NRT,290.51,9.79,N
-13.27819,-41.48046,305.15,1.6,1.25,2024-08-27,18,T,63,6.1NRT,285.82,16.85,N
-13.2799,-41.49488,315.77,1.61,1.25,2024-08-27,18,T,92,6.1NRT,286.45,32.28,N
-13.27752,-41.48625,319.94,1.6,1.25,2024-08-27,18,T,99,6.1NRT,286.56,40.51,N
-13.27932,-41.50059,300.96,1.61,1.25,2024-08-27,18,T,36,6.1NRT,286.02,12.89,N
-13.01996,-44.45718,322.76,2.7,1.57,2024-08-27,18,T,100,6.1NRT,290.48,89.8,N
-13.02267,-44.48155,324.72,2.71,1.58,2024-08-27,18,T,100,6.1NRT,291.32,99.06,N
-13.00868,-44.48343,310.59,2.71,1.58,2024-08-27,18,T,80,6.1NRT,291.06,45.31,N
-13.01494,-44.46417,328.9,2.7,1.57,2024-08-27,18,T,100,6.1NRT,291.42,119.98,N
-13.01785,-44.48883,315.71,2.71,1.58,2024-08-27,18,T,92,6.1NRT,291.35,61.92,N
-11.34988,-42.07552,312.3,1.66,1.27,2024-08-27,20,T,85,6.1NRT,292.91,23.27,N
-11.35077,-42.08118,306.79,1.66,1.27,2024-08-27,20,T,69,6.1NRT,292.79,15.07,N
-11.82437,-47.09925,302.67,4.19,1.9,2024-08-27,20,T,51,6.1NRT,291.34,36.07,N
-11.43172,-47.36407,304.96,4.34,1.92,2024-08-27,20,T,62,6.1NRT,293.08,45.23,N
-10.72405,-45.56977,312.78,3.06,1.66,2024-08-27,20,T,86,6.1NRT,291.07,63.69,N
-10.83352,-47.27443,309.09,4.19,1.9,2024-08-27,20,T,76,6.1NRT,290.85,69.77,N
-10.84581,-47.27832,304.19,4.19,1.9,2024-08-27,20,T,59,6.1NRT,289.64,46.59,N
-10.29229,-43.39356,307.38,2.02,1.39,2024-08-27,20,T,71,6.1NRT,293.24,20.11,N
-10.51279,-46.22851,303.72,3.43,1.74,2024-08-27,20,T,57,6.1NRT,291.65,33.82,N
-10.03929,-43.76646,305.99,2.15,1.42,2024-08-27,20,T,66,6.1NRT,295.37,16.65,N
-8.81807,-42.50576,304.29,1.64,1.26,2024-08-27,20,T,55,6.1NRT,293.6,9.14,N
-9.15235,-45.9754,349.64,3.13,1.68,2024-08-27,20,T,100,6.1NRT,294.51,318.18,N
-9.15547,-46.0027,308.3,3.14,1.68,2024-08-27,20,T,74,6.1NRT,293.27,37.97,N
-9.1496,-45.95482,309.67,3.11,1.67,2024-08-27,20,T,78,6.1NRT,292.78,45.14,N
-9.1529,-45.98196,344.86,3.13,1.68,2024-08-27,20,T,100,6.1NRT,294.64,270.62,N
-7.2025,-34.95621,311.93,1.29,1.13,2024-08-27,20,T,84,6.1NRT,292.41,15.7,N
-8.17762,-42.42934,305.82,1.58,1.24,2024-08-27,20,T,65,6.1NRT,295.19,10.83,N
-8.31309,-44.67627,308,2.39,1.49,2024-08-27,20,T,73,6.1NRT,292.35,27.14,N
-7.2579,-39.91505,318.15,1.09,1.04,2024-08-27,20,T,96,6.1NRT,289.76,19.78,N
-7.42626,-42.38,317.67,1.53,1.22,2024-08-27,20,T,95,6.1NRT,296.98,26.49,N
-7.81833,-46.46241,304.61,3.26,1.71,2024-08-27,20,T,61,6.1NRT,293.18,29.6,N
-7.82197,-46.49228,309.51,3.28,1.71,2024-08-27,20,T,78,6.1NRT,293.66,48.03,N
-7.29979,-44.81076,306.51,2.36,1.48,2024-08-27,20,T,60,6.1NRT,295,16.75,N
-7.28661,-44.81224,326.86,2.36,1.48,2024-08-27,20,T,100,6.1NRT,295.17,79.09,N
-7.28693,-44.79608,309.21,2.35,1.48,2024-08-27,20,T,76,6.1NRT,295.38,25.43,N
-7.28968,-44.81723,323.54,2.36,1.48,2024-08-27,20,T,100,6.1NRT,295.32,68.59,N
-7.45092,-46.68191,304.95,3.35,1.73,2024-08-27,20,T,62,6.1NRT,292.84,30.93,N
-6.89391,-42.43284,308.63,1.52,1.22,2024-08-27,20,T,22,6.1NRT,298.29,9.55,N
