date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,11.2,5.8,19.6,0,,335,10,24.1,1028,
2023-01-02,11.2,6.6,20.7,0,,336,10.8,25.9,1027.5,
2023-01-03,10,4,19,0,,338,8.4,22.2,1025.6,
2023-01-04,10,4,17.6,0,,330,8.8,22.2,1021.1,
2023-01-05,11.6,5.5,18,0,,353,11.2,29.6,1018.5,
2023-01-06,11.3,6.4,18,0,,342,9.4,22.2,1019.6,
2023-01-07,11.6,7,18,0,,344,12.6,31.5,1020.7,
2023-01-08,10,5.6,17,0,,350,10.8,24.1,1019.1,
2023-01-09,10.1,5,18,0,,352,9.4,25.9,1020.6,
2023-01-10,11.7,6.3,14,0.5,,40,12.5,27.8,1022.6,
2023-01-11,14.3,12.8,16,49.3,41,145,36.1,48.2,1017.4,
2023-01-12,9.7,8,11.1,42.9,10,352,15.8,35.2,1016.6,
2023-01-13,9.7,8.7,11,95,51,306,12.6,25.9,1017.2,
2023-01-14,10.9,6.9,17,10.9,,320,11.1,20.4,1015.8,
2023-01-15,11.5,8,17,0,,343,8.8,22.2,1016.9,
2023-01-16,12.2,8,18,0,,351,11.5,22.2,1015.3,
2023-01-17,12.6,8.7,16,0.7,,28,10.9,18.5,1020.3,
2023-01-18,13.9,11,17.6,0,,39,10.9,22.2,1022.9,
2023-01-19,12.8,8.8,19,0,,319,8.7,18.5,1023.5,
2023-01-20,12.2,7.3,17.2,0.8,,343,8.6,22.2,1018.8,
2023-01-21,12.3,9,18,0,,325,7.8,20.4,1020,
2023-01-22,12.3,7.5,19.3,0,,328,9.2,20.4,1021.1,
2023-01-23,12,6.5,19.1,0,,318,8.3,22.2,1022.1,
2023-01-24,12.2,6.5,19,0,,330,9.2,22.2,1022,
2023-01-25,11.2,5.2,18.8,0,,343,8,20.4,1020.1,
2023-01-26,11.1,5.5,17.4,0,,351,7.4,20.4,1019.6,
2023-01-27,14.4,8.4,17.2,23.7,,129,28.1,55.5,1011.6,
2023-01-28,11.8,8.1,17.4,0.5,,335,10.4,40.8,1010.7,
2023-01-29,11.2,7,17.9,0,,327,11.9,24.1,1012.8,
2023-01-30,11.1,6.4,16.4,5.6,,351,12.6,25.9,1009.9,
2023-01-31,9.6,7,13.3,0,,335,26.6,44.5,1006.5,
2023-02-01,9.1,7,12.5,0,,320,31.6,57.4,1009.6,
2023-02-02,8.8,5.6,14,0,,325,24.5,44.5,1018.6,
2023-02-03,8.6,2,14,0.4,,355,10.1,24.1,1020.6,
2023-02-04,8.9,4.9,12.5,5,,358,14.6,33.3,1014.2,
2023-02-05,7.2,4.3,10,0.5,,334,12.5,29.6,1006,
2023-02-06,8.6,5.3,12,6.4,10,318,31.3,59.3,1002.5,
2023-02-07,7.6,5,11,0,,321,33.8,59.3,1015.2,
2023-02-08,5.9,2.8,11,0,,331,28.3,50,1023.7,
2023-02-09,6.4,2,12,0,,322,15.4,38.9,1027,
2023-02-10,6.7,2,11,0,,349,17.4,37,1027.3,
2023-02-11,6.8,0.1,14.4,0,,346,13,31.5,1025,
2023-02-12,6.9,1.3,14,0,,358,10.8,25.9,1023.2,
2023-02-13,8.7,2.3,15,0,,351,16.1,35.2,1025.4,
2023-02-14,8.3,1.6,14.2,0,,341,12.3,31.5,1022.5,
2023-02-15,9.7,3.5,14.5,0,,337,28.6,44.5,1021.2,
2023-02-16,8.7,5,14,0,,346,18.2,37,1026.5,
2023-02-17,8.2,1.4,14.1,0,,353,10,22.2,1029.6,
